X,Y,streamorde,IX,Shape_Leng,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
457888,4379397,4384,21564,4384,457888,4379397,656490,4.17938,741.708
457889,4379397,4384,21564,4384,457889,4379397,656494,5.32382,741.622
457890,4379397,4384,21564,4384,457890,4379397,656499,4.39489,741.633
457891,4379398,4384,21564,4384,457891,4379398,656509,10.8503,741.695
457892,4379399,4384,21564,4384,457892,4379399,656576,8.50299,741.586
457893,4379400,4384,21564,4384,457893,4379400,656577,6.59819,741.597
457894,4379400,4384,21564,4384,457894,4379400,656808,4.06426,741.471
457895,4379401,4384,21564,4384,457895,4379401,656812,6.07976,741.418
457896,4379402,4384,21564,4384,457896,4379402,6,9.39027,741.443
457897,4379402,4384,21564,4384,457897,4379402,656842,2.19968,741.468
457898,4379402,4384,21564,4384,457898,4379402,657632,3.40573,741.54
457899,4379403,4384,21564,4384,457899,4379403,657635,5.35681,741.384
457900,4379404,4384,21564,4384,457900,4379404,28,3.8563,741.373
457901,4379404,4384,21564,4384,457901,4379404,29,0.368951,741.346
457902,4379404,4384,21564,4384,457902,4379404,657769,3.53125,741.388
457903,4379405,4384,21564,4384,457903,4379405,657797,2.85336,741.498
457904,4379405,4384,21564,4384,457904,4379405,657921,2.23262,741.468
457905,4379405,4384,21564,4384,457905,4379405,657923,1.62532,741.426
457906,4379405,4384,21564,4384,457906,4379405,657934,1.10254,741.469
457907,4379404,4384,21564,4384,457907,4379404,657938,4.84976,741.469
457908,4379405,4384,21564,4384,457908,4379405,657939,5.87327,741.405
457909,4379406,4384,21564,4384,457909,4379406,658053,4.85019,741.205
457910,4379405,4384,21564,4384,457910,4379405,658068,11.2612,741.108
457911,4379406,4384,21564,4384,457911,4379406,658085,6.69419,741.063
457912,4379406,4384,21564,4384,457912,4379406,658087,6.22132,741.059
457913,4379406,4384,21564,4384,457913,4379406,658095,3.81574,741.024
457914,4379406,4384,21564,4384,457914,4379406,658105,2.65494,740.987
457915,4379406,4384,21564,4384,457915,4379406,658114,6.49311,740.98
457916,4379406,4384,21564,4384,457916,4379406,658117,7.49646,740.928
457917,4379406,4384,21564,4384,457917,4379406,658131,5.83591,740.75
457918,4379406,4384,21564,4384,457918,4379406,658133,8.96222,740.824
457919,4379405,4384,21564,4384,457919,4379405,658144,13.796,740.608
457920,4379405,4384,21564,4384,457920,4379405,658160,6.49358,740.463
457921,4379405,4384,21564,4384,457921,4379405,658166,11.6084,740.58
457922,4379404,4384,21564,4384,457922,4379404,658175,7.51379,740.505
457923,4379404,4384,21564,4384,457923,4379404,658178,2.7915,740.537
457924,4379403,4384,21564,4384,457924,4379403,1051,7.87668,740.523
