FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
0,15,1,1,23,293.137983000000020,447677.000000000000000,4398437.000000000000000,6243,990.8339844
1,15,1,1,23,293.137983000000020,447676.000000000000000,4398432.000000000000000,7018,989.9000244
2,15,1,1,23,293.137983000000020,447678.000000000000000,4398427.000000000000000,7197,988.9169922
3,15,1,1,23,293.137983000000020,447678.000000000000000,4398420.000000000000000,7554,987.5969849
4,15,1,1,23,293.137983000000020,447679.000000000000000,4398419.000000000000000,8218,987.3400269
5,15,1,1,23,293.137983000000020,447678.000000000000000,4398409.000000000000000,9497,985.4279785
6,15,1,1,23,293.137983000000020,447681.000000000000000,4398405.000000000000000,10361,984.3469849
7,15,1,1,23,293.137983000000020,447681.000000000000000,4398401.000000000000000,10419,983.2819824
8,15,1,1,23,293.137983000000020,447679.000000000000000,4398398.000000000000000,10670,981.6079712
9,15,1,1,23,293.137983000000020,447680.000000000000000,4398396.000000000000000,11806,981.2160034
10,15,1,1,23,293.137983000000020,447679.000000000000000,4398395.000000000000000,11811,980.8619995
11,15,1,1,23,293.137983000000020,447679.000000000000000,4398376.000000000000000,13885,975.2960205
12,15,1,1,23,293.137983000000020,447677.000000000000000,4398374.000000000000000,14098,974.3590088
13,11,1,2,16,212.282721000000010,447908.000000000000000,4398355.000000000000000,8973,1064.3499756
14,11,1,2,16,212.282721000000010,447906.000000000000000,4398353.000000000000000,9036,1062.7199707
15,15,1,1,23,293.137983000000020,447677.000000000000000,4398361.000000000000000,15518,969.5859985
16,15,1,1,23,293.137983000000020,447676.000000000000000,4398360.000000000000000,16382,968.8400269
17,15,1,1,23,293.137983000000020,447677.000000000000000,4398349.000000000000000,17752,965.3359985
18,11,1,2,16,212.282721000000010,447906.000000000000000,4398338.000000000000000,9539,1052.7500000
19,11,1,2,16,212.282721000000010,447908.000000000000000,4398336.000000000000000,9554,1051.1999512
20,15,1,1,23,293.137983000000020,447675.000000000000000,4398346.000000000000000,18395,964.0659790
21,15,1,1,23,293.137983000000020,447675.000000000000000,4398341.000000000000000,18557,962.6160278
22,15,1,1,23,293.137983000000020,447677.000000000000000,4398339.000000000000000,19012,961.7069702
23,35,1,3,37,261.637833000000000,447495.000000000000000,4398346.000000000000000,6278,932.3920288
24,35,1,3,37,261.637833000000000,447495.000000000000000,4398345.000000000000000,6285,931.8150024
25,35,1,3,37,261.637833000000000,447487.000000000000000,4398338.000000000000000,6457,924.2139893
26,35,1,3,37,261.637833000000000,447487.000000000000000,4398336.000000000000000,6469,922.6599731
27,15,1,1,23,293.137983000000020,447679.000000000000000,4398332.000000000000000,20053,958.8549805
28,35,1,3,37,261.637833000000000,447480.000000000000000,4398330.000000000000000,6481,916.2410278
29,35,1,3,37,261.637833000000000,447478.000000000000000,4398324.000000000000000,6576,911.7169800
30,11,1,2,16,212.282721000000010,447908.000000000000000,4398311.000000000000000,11587,1034.1099854
31,11,1,2,16,212.282721000000010,447903.000000000000000,4398305.000000000000000,11858,1028.2900391
32,11,1,2,16,212.282721000000010,447903.000000000000000,4398302.000000000000000,11863,1025.9399414
33,15,1,1,23,293.137983000000020,447679.000000000000000,4398316.000000000000000,22471,952.2570190
34,15,1,1,23,293.137983000000020,447680.000000000000000,4398313.000000000000000,23498,950.4630127
35,15,1,1,23,293.137983000000020,447678.000000000000000,4398309.000000000000000,24022,949.0479736
36,15,1,1,23,293.137983000000020,447678.000000000000000,4398304.000000000000000,24315,946.6560059
37,35,1,3,37,261.637833000000000,447462.000000000000000,4398309.000000000000000,9207,898.2550049
38,1,1,4,8,31.324555000000000,447323.000000000000000,4398293.000000000000000,6640,843.0859985
39,3,1,6,9,26.526876000000001,447333.000000000000000,4398286.000000000000000,6569,841.1669922
40,8,1,5,13,62.301575000000000,447347.000000000000000,4398290.000000000000000,6258,844.9149780
41,11,1,2,16,212.282721000000010,447901.000000000000000,4398299.000000000000000,11867,1023.6500244
42,15,1,1,23,293.137983000000020,447682.000000000000000,4398293.000000000000000,26102,941.9869995
