Flow_acc ACRR,Typ ACRR,Data_Point ACRR,Flow_acc SRS,Typ SR,Data_Point SR
2722730,In channel,1,73,In channel Flowhead,1
2642120,In channel,2,5,Flowhead,2
32438,Flowhead,3,127,Flowhead,3
9515,Flowhead,4,1200770,In channel,4
9088,Flowhead,5,278,Piped Flowhead,5
406,Flowhead,6,5249378,In channel,6
4081,Flowhead,7,4884198,In channel,7
2449850,In channel,8,4519244,In channel,8
52,Flowhead,9,4160935,In channel,9
281,Flowhead,10,3697067,In channel,10
1970040,In channel,11,138304,In channel,11
0,Flowhead,12,72318,In channel,12
219,Flowhead,13,6,Piped Flowhead,13
1318080,In channel,14,138,Flowhead,14
186,Flowhead,15,40,Flowhead,15
1854,Flowhead,16,10,"Flowhead, likely piped",16
287,Flowhead,17,393,Piped Flowhead upslope of R2 Flowhead,17
267643,In channel,18,172029,In channel Flowhead,18
516,Flowhead,19,452050,In channel,19
1115,Flowhead,20,770585,In channel,20
34987,Flowhead,21,65,Piped Flowhead,21
139040,In channel,22,3402477,In channel,22
6103,Flowhead,23,1,Flowhead,23
4345,Flowhead,24,66,In channel,24
1693,Flowhead,25,334,Flowhead,25
134791,In channel,26,223324,Flowhead,26
119883,Flowhead,27,827636,In channel,27
286,Flowhead,28,2701,Flowhead,28
39241,Flowhead,29,0,Piped Flowhead,29
3638,Flowhead,30,79344,In channel Flowhead,30
29353,Flowhead,31,2,Flowhead,31
940,Flowhead,32,427753,In channel,32
127,Flowhead,33,2,Flowhead,33
1554,Flowhead,34,694230,In channel,34
749101,In channel,35,6,Flowhead,35
2856,Flowhead,36,1924727,In channel,36
24,Flowhead,37,3307690,In channel,37
344,Flowhead,38,9470801,In channel,38
173116,Flowhead,39,9129477,In channel,39
34494,Flowhead,40,3539727,In channel,40
5667,Flowhead,41,5587395,In channel,41
198627,In channel,42,,,42
375,Flowhead,43,,,43
116571,Flowhead,44,,,44
183,Flowhead,45,,,45
6192,Flowhead,46,,,46
13,Flowhead,47,,,47
140,Flowhead,48,,,48
23157,Flowhead,49,,,49
231,Flowhead,50,,,50
170471,Flowhead,51,,,51
294829,In channel,52,,,52
48901,Flowhead,53,,,53
8855,Flowhead,54,,,54
111740,In channel,55,,,55
28343,Flowhead,56,,,56
200,Flowhead,57,,,57
27740,Flowhead,58,,,58
108937,In channel,59,,,59
32958,In channel,60,,,60
606,Flowhead,61,,,61
110,Flowhead,62,,,62
4304,Flowhead,63,,,63
7119,Flowhead,64,,,64
1331,Flowhead,65,,,65
24916,Flowhead,66,,,66
53177,In channel,67,,,67
459275,In channel,68,,,68
39235,Flowhead,69,,,69
1702,Flowhead,70,,,70
16020,Flowhead,71,,,71
99732,In channel,72,,,72
507258,In channel,73,,,73
542606,In channel,74,,,74
452730,In channel,75,,,75
382967,In channel,76,,,76
13809,Flowhead,77,,,77
177722,In channel,78,,,78
12579,Flowhead,79,,,79
661,Flowhead,80,,,80
1615,Flowhead,81,,,81
8152,Flowhead,82,,,82
37141,Flowhead,83,,,83
