X,Y,streamorde,IX,X_UTM,Y_UTM,flowacc_co,slp_deg_co,AngeloSage
447662,4399678,5,34659,447662.00000000000,4399678.00000000000,472309,12.56710000000,684.53800000000
447661,4399678,5,34659,447661.00000000000,4399678.00000000000,472335,5.16676000000,684.44500000000
447660,4399678,5,34659,447660.00000000000,4399678.00000000000,472337,2.27276000000,684.48300000000
447659,4399678,5,34659,447659.00000000000,4399678.00000000000,472351,4.63943000000,684.44500000000
447658,4399678,5,34659,447658.00000000000,4399678.00000000000,472354,8.78056000000,684.30800000000
447657,4399678,5,34659,447657.00000000000,4399678.00000000000,472356,12.60080000000,684.15500000000
447656,4399677,5,34659,447656.00000000000,4399677.00000000000,472385,11.34250000000,683.82900000000
447655,4399676,5,34659,447655.00000000000,4399676.00000000000,473186,18.63750000000,683.67200000000
447654,4399676,5,34659,447654.00000000000,4399676.00000000000,473228,19.33390000000,683.39500000000
447653,4399676,5,34659,447653.00000000000,4399676.00000000000,473233,19.23650000000,683.26300000000
447652,4399676,5,34659,447652.00000000000,4399676.00000000000,473236,22.61950000000,683.03600000000
447651,4399676,5,34659,447651.00000000000,4399676.00000000000,473250,19.92130000000,682.64900000000
447650,4399677,5,34659,447650.00000000000,4399677.00000000000,473251,12.93600000000,682.49000000000
447649,4399678,5,34659,447649.00000000000,4399678.00000000000,473252,17.51180000000,682.04900000000
447648,4399679,5,34659,447648.00000000000,4399679.00000000000,473524,6.55088000000,681.63400000000
447647,4399679,5,34659,447647.00000000000,4399679.00000000000,473529,6.66758000000,681.57900000000
447646,4399679,5,34659,447646.00000000000,4399679.00000000000,473540,10.68450000000,681.46800000000
447645,4399678,5,34659,447645.00000000000,4399678.00000000000,473549,5.51438000000,681.42700000000
447644,4399677,5,34659,447644.00000000000,4399677.00000000000,473550,13.78360000000,681.23100000000
447643,4399677,5,34659,447643.00000000000,4399677.00000000000,560495,12.95110000000,680.93800000000
447642,4399677,5,34659,447642.00000000000,4399677.00000000000,560529,10.54670000000,680.70000000000
447641,4399677,5,34659,447641.00000000000,4399677.00000000000,560536,14.32170000000,680.62200000000
447640,4399676,5,34659,447640.00000000000,4399676.00000000000,560560,11.93060000000,680.27800000000
447639,4399675,5,34659,447639.00000000000,4399675.00000000000,560565,7.17843000000,680.08800000000
447638,4399675,5,34659,447638.00000000000,4399675.00000000000,560568,9.03251000000,679.99600000000
447637,4399675,5,34659,447637.00000000000,4399675.00000000000,560577,10.98310000000,679.85100000000
447636,4399675,5,34659,447636.00000000000,4399675.00000000000,560578,12.51260000000,679.71600000000
447635,4399675,5,34659,447635.00000000000,4399675.00000000000,560628,13.90940000000,679.51500000000
447634,4399674,5,34659,447634.00000000000,4399674.00000000000,560630,12.98500000000,679.44400000000
447633,4399674,5,34659,447633.00000000000,4399674.00000000000,560642,13.95830000000,679.06000000000
447632,4399673,5,34659,447632.00000000000,4399673.00000000000,560643,19.24180000000,678.82000000000
447631,4399672,5,34659,447631.00000000000,4399672.00000000000,560647,27.55970000000,678.24500000000
447630,4399672,5,34659,447630.00000000000,4399672.00000000000,560650,34.35880000000,677.59200000000
447629,4399671,5,34659,447629.00000000000,4399671.00000000000,560653,27.78350000000,676.65000000000
447628,4399671,5,34659,447628.00000000000,4399671.00000000000,560693,15.20730000000,676.39800000000
447628,4399670,5,34659,447628.00000000000,4399670.00000000000,562680,15.06560000000,676.29900000000
447627,4399669,5,34659,447627.00000000000,4399669.00000000000,562838,29.30230000000,676.22900000000
447626,4399670,5,34659,447626.00000000000,4399670.00000000000,562841,13.06220000000,675.99500000000
447625,4399670,5,34659,447625.00000000000,4399670.00000000000,562880,12.34470000000,675.73800000000
447624,4399669,5,34659,447624.00000000000,4399669.00000000000,562889,6.81879000000,675.55500000000
447623,4399668,5,34659,447623.00000000000,4399668.00000000000,562890,9.37598000000,675.48500000000
447622,4399667,5,34659,447622.00000000000,4399667.00000000000,562951,17.51420000000,675.12300000000
447621,4399667,5,34659,447621.00000000000,4399667.00000000000,562952,15.47710000000,674.75100000000
447620,4399667,5,34659,447620.00000000000,4399667.00000000000,562974,15.82970000000,674.53600000000
447619,4399667,5,34659,447619.00000000000,4399667.00000000000,562985,22.30560000000,674.29800000000
447618,4399667,5,34659,447618.00000000000,4399667.00000000000,563088,22.73540000000,673.88400000000
447617,4399667,5,34659,447617.00000000000,4399667.00000000000,563102,17.69050000000,673.53400000000
447616,4399666,5,34659,447616.00000000000,4399666.00000000000,563103,25.29630000000,673.14000000000
447615,4399665,5,34659,447615.00000000000,4399665.00000000000,563104,31.25500000000,672.34000000000
447614,4399665,5,34659,447614.00000000000,4399665.00000000000,563110,25.49900000000,671.64400000000
447613,4399664,5,34659,447613.00000000000,4399664.00000000000,563856,12.39890000000,671.28900000000
447612,4399663,5,34659,447612.00000000000,4399663.00000000000,564164,7.31674000000,671.09800000000
447611,4399662,5,34659,447611.00000000000,4399662.00000000000,564166,21.75790000000,670.91300000000
447610,4399662,5,34659,447610.00000000000,4399662.00000000000,564201,13.44800000000,670.60500000000
447609,4399661,5,34659,447609.00000000000,4399661.00000000000,564202,11.29130000000,670.38000000000
447608,4399661,5,34659,447608.00000000000,4399661.00000000000,564204,10.47420000000,670.19300000000
447607,4399660,5,34659,447607.00000000000,4399660.00000000000,564206,7.23427000000,669.99100000000
447606,4399660,5,34659,447606.00000000000,4399660.00000000000,564216,10.85820000000,669.91400000000
447605,4399659,5,34659,447605.00000000000,4399659.00000000000,564748,16.84530000000,669.34300000000
447605,4399658,5,34659,447605.00000000000,4399658.00000000000,564944,31.03090000000,669.32200000000
447604,4399658,5,34659,447604.00000000000,4399658.00000000000,565272,16.38030000000,669.27900000000
447603,4399658,5,34659,447603.00000000000,4399658.00000000000,565273,11.01180000000,669.32400000000
447602,4399658,5,34659,447602.00000000000,4399658.00000000000,565276,12.40260000000,669.17000000000
447601,4399657,5,34659,447601.00000000000,4399657.00000000000,565280,25.26600000000,668.86000000000
447600,4399657,5,34659,447600.00000000000,4399657.00000000000,565281,16.79900000000,668.61400000000
447599,4399657,5,34659,447599.00000000000,4399657.00000000000,565312,17.62120000000,668.34300000000
447598,4399657,5,34659,447598.00000000000,4399657.00000000000,565602,25.71960000000,667.90100000000
