FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,flowacc_co,AngeloSage
0,1,1,1,3,83.660286999999997,456808.000000000000000,4381294.000000000000000,1088,895.3229980
1,1,1,1,3,83.660286999999997,456809.000000000000000,4381293.000000000000000,1099,894.9060059
2,1,1,1,3,83.660286999999997,456813.000000000000000,4381293.000000000000000,1126,893.7319946
3,1,1,1,3,83.660286999999997,456821.000000000000000,4381286.000000000000000,1139,889.9069824
4,1,1,1,3,83.660286999999997,456824.000000000000000,4381286.000000000000000,1177,888.9699707
5,1,1,1,3,83.660286999999997,456827.000000000000000,4381283.000000000000000,1189,887.6710205
6,1,1,1,3,83.660286999999997,456830.000000000000000,4381282.000000000000000,1260,886.2559814
7,1,1,1,3,83.660286999999997,456857.000000000000000,4381254.000000000000000,1402,870.7670288
8,1,1,1,3,83.660286999999997,456857.000000000000000,4381252.000000000000000,1461,869.9030151
9,1,1,1,3,83.660286999999997,456860.000000000000000,4381248.000000000000000,1480,867.9860229
10,8,1,2,14,59.051841000000003,456834.000000000000000,4381245.000000000000000,1099,872.3980103
11,1,1,1,3,83.660286999999997,456868.000000000000000,4381240.000000000000000,1996,865.6190186
12,2,1,3,4,2.236068000000000,456868.000000000000000,4381240.000000000000000,1996,865.6190186
13,2,1,3,4,2.236068000000000,456870.000000000000000,4381239.000000000000000,1536,865.1209717
14,3,1,3,4,3.650282000000000,456868.000000000000000,4381240.000000000000000,1996,865.6190186
15,3,1,3,4,3.650282000000000,456869.000000000000000,4381241.000000000000000,1150,865.6209717
16,3,1,3,4,3.650282000000000,456870.000000000000000,4381239.000000000000000,1536,865.1209717
17,8,1,2,14,59.051841000000003,456842.000000000000000,4381238.000000000000000,2468,867.9180298
18,8,1,2,14,59.051841000000003,456853.000000000000000,4381231.000000000000000,2844,862.9290161
19,9,1,4,14,37.375965999999998,456870.000000000000000,4381239.000000000000000,1536,865.1209717
20,9,1,4,14,37.375965999999998,456870.000000000000000,4381236.000000000000000,3542,864.3159790
21,9,1,4,14,37.375965999999998,456875.000000000000000,4381231.000000000000000,3562,861.9310303
22,4,1,8,11,5.000000000000000,456752.000000000000000,4381222.000000000000000,1193,890.1790161
23,4,1,8,11,5.000000000000000,456749.000000000000000,4381218.000000000000000,2563,889.3880005
24,5,1,11,10,9.828427000000000,456749.000000000000000,4381218.000000000000000,2563,889.3880005
25,5,1,11,10,9.828427000000000,456756.000000000000000,4381218.000000000000000,1319,890.0590210
26,5,1,11,10,9.828427000000000,456758.000000000000000,4381220.000000000000000,1306,890.2249756
27,6,1,9,12,4.472136000000000,456744.000000000000000,4381221.000000000000000,1693,889.9359741
28,6,1,9,12,4.472136000000000,456746.000000000000000,4381217.000000000000000,4978,889.2639771
29,7,1,12,11,3.162278000000000,456746.000000000000000,4381217.000000000000000,4978,889.2639771
30,7,1,12,11,3.162278000000000,456749.000000000000000,4381218.000000000000000,2563,889.3880005
