FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,AngeloSage,flowacc_co
0,1,1,4,8,31.324555320300000,447323.000000000000000,4398293.000000000000000,843.0862427,6640
1,1,1,4,8,31.324555320300000,447323.000000000000000,4398268.000000000000000,831.3662109,7644
2,1,1,4,8,31.324555320300000,447325.000000000000000,4398262.000000000000000,828.8640137,9134
3,2,1,8,9,1.000000000000000,447325.000000000000000,4398262.000000000000000,828.8640137,9134
4,2,1,8,9,1.000000000000000,447326.000000000000000,4398262.000000000000000,829.0298462,6775
5,3,1,6,9,26.526875953000001,447333.000000000000000,4398286.000000000000000,841.1668091,6569
6,3,1,6,9,26.526875953000001,447333.000000000000000,4398283.000000000000000,839.6661987,6583
7,3,1,6,9,26.526875953000001,447330.000000000000000,4398280.000000000000000,837.7300415,6671
8,3,1,6,9,26.526875953000001,447329.000000000000000,4398268.000000000000000,832.0102539,6769
9,3,1,6,9,26.526875953000001,447327.000000000000000,4398266.000000000000000,830.9809570,6771
10,3,1,6,9,26.526875953000001,447327.000000000000000,4398263.000000000000000,829.6158447,6774
11,3,1,6,9,26.526875953000001,447326.000000000000000,4398262.000000000000000,829.0298462,6775
12,4,1,8,10,1.000000000000000,447325.000000000000000,4398262.000000000000000,828.8640137,9134
13,4,1,8,10,1.000000000000000,447325.000000000000000,4398261.000000000000000,828.4030151,9135
14,5,1,10,9,2.000000000000000,447325.000000000000000,4398261.000000000000000,828.4030151,9135
15,5,1,10,9,2.000000000000000,447326.000000000000000,4398261.000000000000000,828.5458374,6784
16,5,1,10,9,2.000000000000000,447326.000000000000000,4398262.000000000000000,829.0298462,6775
17,6,1,10,12,30.372430870100001,447325.000000000000000,4398261.000000000000000,828.4030151,9135
18,6,1,10,12,30.372430870100001,447325.000000000000000,4398255.000000000000000,826.1096802,15959
19,6,1,10,12,30.372430870100001,447327.000000000000000,4398253.000000000000000,825.1406860,15999
20,6,1,10,12,30.372430870100001,447327.000000000000000,4398240.000000000000000,819.4780884,16812
21,6,1,10,12,30.372430870100001,447330.000000000000000,4398232.000000000000000,814.6912842,16864
22,7,1,12,13,1.000000000000000,447330.000000000000000,4398232.000000000000000,814.6912842,16864
23,7,1,12,13,1.000000000000000,447331.000000000000000,4398232.000000000000000,814.6044312,10414
24,8,1,5,13,62.301574775399999,447347.000000000000000,4398290.000000000000000,844.9148560,6258
25,8,1,5,13,62.301574775399999,447346.000000000000000,4398281.000000000000000,840.8370972,6434
26,8,1,5,13,62.301574775399999,447340.000000000000000,4398268.000000000000000,832.8115234,7925
27,8,1,5,13,62.301574775399999,447340.000000000000000,4398257.000000000000000,827.3666382,8802
28,8,1,5,13,62.301574775399999,447338.000000000000000,4398253.000000000000000,825.3114624,8811
29,8,1,5,13,62.301574775399999,447338.000000000000000,4398248.000000000000000,822.9647827,9731
30,8,1,5,13,62.301574775399999,447336.000000000000000,4398246.000000000000000,821.6301880,9920
31,8,1,5,13,62.301574775399999,447336.000000000000000,4398243.000000000000000,820.2824707,10180
32,8,1,5,13,62.301574775399999,447333.000000000000000,4398240.000000000000000,818.8359985,10211
33,8,1,5,13,62.301574775399999,447333.000000000000000,4398237.000000000000000,817.5806885,10241
34,8,1,5,13,62.301574775399999,447331.000000000000000,4398232.000000000000000,814.6044312,10414
35,9,1,12,14,2.000000000000000,447330.000000000000000,4398232.000000000000000,814.6912842,16864
36,9,1,12,14,2.000000000000000,447330.000000000000000,4398231.000000000000000,814.3513794,16869
37,9,1,12,14,2.000000000000000,447331.000000000000000,4398231.000000000000000,814.2157593,10417
38,10,1,13,14,1.000000000000000,447331.000000000000000,4398232.000000000000000,814.6044312,10414
39,10,1,13,14,1.000000000000000,447331.000000000000000,4398231.000000000000000,814.2157593,10417
40,11,1,2,16,212.282721455000000,447908.000000000000000,4398355.000000000000000,1064.3527832,8973
41,11,1,2,16,212.282721455000000,447906.000000000000000,4398353.000000000000000,1062.7232666,9036
42,11,1,2,16,212.282721455000000,447906.000000000000000,4398338.000000000000000,1052.7536621,9539
43,11,1,2,16,212.282721455000000,447908.000000000000000,4398336.000000000000000,1051.2021484,9554
44,11,1,2,16,212.282721455000000,447908.000000000000000,4398311.000000000000000,1034.1055908,11587
45,11,1,2,16,212.282721455000000,447903.000000000000000,4398305.000000000000000,1028.2922363,11858
46,11,1,2,16,212.282721455000000,447903.000000000000000,4398302.000000000000000,1025.9438477,11863
47,11,1,2,16,212.282721455000000,447901.000000000000000,4398299.000000000000000,1023.6504517,11867
48,11,1,2,16,212.282721455000000,447868.000000000000000,4398265.000000000000000,992.6397095,12314
49,11,1,2,16,212.282721455000000,447865.000000000000000,4398264.000000000000000,990.8567505,12343
50,11,1,2,16,212.282721455000000,447849.000000000000000,4398248.000000000000000,978.0603027,12558
51,11,1,2,16,212.282721455000000,447845.000000000000000,4398247.000000000000000,975.8041382,14568
52,11,1,2,16,212.282721455000000,447837.000000000000000,4398239.000000000000000,971.3660889,14578
53,11,1,2,16,212.282721455000000,447835.000000000000000,4398239.000000000000000,970.4386597,14591
54,11,1,2,16,212.282721455000000,447828.000000000000000,4398233.000000000000000,966.7641602,16080
55,11,1,2,16,212.282721455000000,447822.000000000000000,4398227.000000000000000,963.9276733,18229
56,11,1,2,16,212.282721455000000,447822.000000000000000,4398222.000000000000000,961.9899292,21015
57,11,1,2,16,212.282721455000000,447795.000000000000000,4398194.000000000000000,937.1731567,11817
58,12,1,16,11,107.089767110000000,447795.000000000000000,4398194.000000000000000,937.1731567,11817
59,12,1,16,11,107.089767110000000,447799.000000000000000,4398194.000000000000000,938.9929199,11575
60,12,1,16,11,107.089767110000000,447802.000000000000000,4398196.000000000000000,940.9385986,11521
61,12,1,16,11,107.089767110000000,447809.000000000000000,4398196.000000000000000,944.2752686,11446
62,12,1,16,11,107.089767110000000,447812.000000000000000,4398198.000000000000000,946.2432861,11402
63,12,1,16,11,107.089767110000000,447814.000000000000000,4398198.000000000000000,947.1468506,11392
64,12,1,16,11,107.089767110000000,447836.000000000000000,4398220.000000000000000,965.6986694,10902
65,12,1,16,11,107.089767110000000,447838.000000000000000,4398220.000000000000000,966.5218506,10856
66,12,1,16,11,107.089767110000000,447844.000000000000000,4398224.000000000000000,969.4157715,10752
67,12,1,16,11,107.089767110000000,447857.000000000000000,4398224.000000000000000,975.4343872,10142
68,12,1,16,11,107.089767110000000,447865.000000000000000,4398232.000000000000000,979.6835938,10040
69,12,1,16,11,107.089767110000000,447870.000000000000000,4398233.000000000000000,981.5997925,9261
70,12,1,16,11,107.089767110000000,447880.000000000000000,4398243.000000000000000,988.2668457,8470
71,12,1,16,11,107.089767110000000,447883.000000000000000,4398243.000000000000000,989.5114746,8417
72,13,1,15,22,48.330247328399999,447654.000000000000000,4398208.000000000000000,898.7996216,7598
73,13,1,15,22,48.330247328399999,447654.000000000000000,4398206.000000000000000,897.5237427,8274
74,13,1,15,22,48.330247328399999,447659.000000000000000,4398199.000000000000000,892.6051025,8301
75,13,1,15,22,48.330247328399999,447659.000000000000000,4398180.000000000000000,881.4338379,8346
76,13,1,15,22,48.330247328399999,447658.000000000000000,4398179.000000000000000,880.7761841,8682
77,13,1,15,22,48.330247328399999,447658.000000000000000,4398173.000000000000000,878.1120605,8690
78,13,1,15,22,48.330247328399999,447655.000000000000000,4398170.000000000000000,876.5656738,8913
79,13,1,15,22,48.330247328399999,447654.000000000000000,4398163.000000000000000,872.9967651,8922
80,14,1,22,23,1.000000000000000,447654.000000000000000,4398163.000000000000000,872.9967651,8922
81,14,1,22,23,1.000000000000000,447655.000000000000000,4398163.000000000000000,873.1569214,51435
82,15,1,1,23,293.137983174000000,447677.000000000000000,4398437.000000000000000,990.8336792,6243
83,15,1,1,23,293.137983174000000,447676.000000000000000,4398432.000000000000000,989.9002686,7018
84,15,1,1,23,293.137983174000000,447678.000000000000000,4398427.000000000000000,988.9166260,7197
85,15,1,1,23,293.137983174000000,447678.000000000000000,4398420.000000000000000,987.5966797,7554
86,15,1,1,23,293.137983174000000,447679.000000000000000,4398419.000000000000000,987.3399658,8218
87,15,1,1,23,293.137983174000000,447678.000000000000000,4398409.000000000000000,985.4277344,9497
88,15,1,1,23,293.137983174000000,447681.000000000000000,4398405.000000000000000,984.3468628,10361
89,15,1,1,23,293.137983174000000,447681.000000000000000,4398401.000000000000000,983.2819214,10419
90,15,1,1,23,293.137983174000000,447679.000000000000000,4398398.000000000000000,981.6077271,10670
91,15,1,1,23,293.137983174000000,447680.000000000000000,4398396.000000000000000,981.2157593,11806
92,15,1,1,23,293.137983174000000,447679.000000000000000,4398395.000000000000000,980.8620605,11811
93,15,1,1,23,293.137983174000000,447679.000000000000000,4398376.000000000000000,975.2958984,13885
94,15,1,1,23,293.137983174000000,447677.000000000000000,4398374.000000000000000,974.3593750,14098
95,15,1,1,23,293.137983174000000,447677.000000000000000,4398361.000000000000000,969.5863037,15518
96,15,1,1,23,293.137983174000000,447676.000000000000000,4398360.000000000000000,968.8397827,16382
97,15,1,1,23,293.137983174000000,447677.000000000000000,4398349.000000000000000,965.3363037,17752
98,15,1,1,23,293.137983174000000,447675.000000000000000,4398346.000000000000000,964.0661621,18395
99,15,1,1,23,293.137983174000000,447675.000000000000000,4398341.000000000000000,962.6161499,18557
100,15,1,1,23,293.137983174000000,447677.000000000000000,4398339.000000000000000,961.7066040,19012
101,15,1,1,23,293.137983174000000,447679.000000000000000,4398332.000000000000000,958.8547363,20053
102,15,1,1,23,293.137983174000000,447679.000000000000000,4398316.000000000000000,952.2568970,22471
103,15,1,1,23,293.137983174000000,447680.000000000000000,4398313.000000000000000,950.4626465,23498
104,15,1,1,23,293.137983174000000,447678.000000000000000,4398309.000000000000000,949.0478516,24022
105,15,1,1,23,293.137983174000000,447678.000000000000000,4398304.000000000000000,946.6560669,24315
106,15,1,1,23,293.137983174000000,447682.000000000000000,4398293.000000000000000,941.9874268,26102
107,15,1,1,23,293.137983174000000,447682.000000000000000,4398282.000000000000000,936.5604858,28769
108,15,1,1,23,293.137983174000000,447683.000000000000000,4398281.000000000000000,936.0362549,29789
109,15,1,1,23,293.137983174000000,447683.000000000000000,4398268.000000000000000,929.5484619,32550
110,15,1,1,23,293.137983174000000,447682.000000000000000,4398265.000000000000000,928.0995483,32558
111,15,1,1,23,293.137983174000000,447685.000000000000000,4398259.000000000000000,924.7471924,35112
112,15,1,1,23,293.137983174000000,447685.000000000000000,4398254.000000000000000,922.1149292,36446
113,15,1,1,23,293.137983174000000,447684.000000000000000,4398253.000000000000000,921.6036987,36452
114,15,1,1,23,293.137983174000000,447684.000000000000000,4398250.000000000000000,919.8472290,36881
115,15,1,1,23,293.137983174000000,447682.000000000000000,4398248.000000000000000,918.5183716,36905
116,15,1,1,23,293.137983174000000,447681.000000000000000,4398221.000000000000000,903.8861084,41819
117,15,1,1,23,293.137983174000000,447678.000000000000000,4398218.000000000000000,901.4757080,42542
118,15,1,1,23,293.137983174000000,447678.000000000000000,4398206.000000000000000,895.8360596,43759
119,15,1,1,23,293.137983174000000,447677.000000000000000,4398205.000000000000000,895.3166504,43794
120,15,1,1,23,293.137983174000000,447677.000000000000000,4398202.000000000000000,893.9643555,43798
121,15,1,1,23,293.137983174000000,447664.000000000000000,4398186.000000000000000,884.3218384,45682
122,15,1,1,23,293.137983174000000,447664.000000000000000,4398180.000000000000000,881.7042236,49721
123,15,1,1,23,293.137983174000000,447662.000000000000000,4398176.000000000000000,879.6143799,49976
124,15,1,1,23,293.137983174000000,447661.000000000000000,4398170.000000000000000,876.7531738,50116
125,15,1,1,23,293.137983174000000,447655.000000000000000,4398163.000000000000000,873.1569214,51435
126,16,1,22,24,1.000000000000000,447654.000000000000000,4398163.000000000000000,872.9967651,8922
127,16,1,22,24,1.000000000000000,447654.000000000000000,4398162.000000000000000,872.4485474,8923
128,17,1,24,23,2.000000000000000,447654.000000000000000,4398162.000000000000000,872.4485474,8923
129,17,1,24,23,2.000000000000000,447655.000000000000000,4398162.000000000000000,872.6497803,51438
130,17,1,24,23,2.000000000000000,447655.000000000000000,4398163.000000000000000,873.1569214,51435
131,18,1,17,25,37.465891192299999,447727.000000000000000,4398190.000000000000000,907.3546753,7880
132,18,1,17,25,37.465891192299999,447723.000000000000000,4398185.000000000000000,903.5083008,7915
133,18,1,17,25,37.465891192299999,447723.000000000000000,4398183.000000000000000,902.3789063,7917
134,18,1,17,25,37.465891192299999,447720.000000000000000,4398178.000000000000000,898.4677124,7978
135,18,1,17,25,37.465891192299999,447717.000000000000000,4398175.000000000000000,896.0296021,8284
136,18,1,17,25,37.465891192299999,447716.000000000000000,4398171.000000000000000,894.0460205,8303
137,18,1,17,25,37.465891192299999,447706.000000000000000,4398160.000000000000000,883.9642944,40244
138,19,1,25,16,101.540582259999990,447706.000000000000000,4398160.000000000000000,883.9642944,40244
139,19,1,25,16,101.540582259999990,447716.000000000000000,4398160.000000000000000,889.7126465,37961
140,19,1,25,16,101.540582259999990,447727.000000000000000,4398170.000000000000000,897.4110107,37596
141,19,1,25,16,101.540582259999990,447733.000000000000000,4398171.000000000000000,900.5274658,36899
142,19,1,25,16,101.540582259999990,447738.000000000000000,4398176.000000000000000,904.1485596,36371
143,19,1,25,16,101.540582259999990,447741.000000000000000,4398176.000000000000000,905.8078003,36368
144,19,1,25,16,101.540582259999990,447742.000000000000000,4398175.000000000000000,906.0927124,36154
145,19,1,25,16,101.540582259999990,447756.000000000000000,4398175.000000000000000,912.8983765,35802
146,19,1,25,16,101.540582259999990,447757.000000000000000,4398176.000000000000000,913.5675659,35748
147,19,1,25,16,101.540582259999990,447762.000000000000000,4398176.000000000000000,916.2169189,35689
148,19,1,25,16,101.540582259999990,447769.000000000000000,4398178.000000000000000,920.0311279,35418
149,19,1,25,16,101.540582259999990,447781.000000000000000,4398189.000000000000000,929.5816040,34337
150,19,1,25,16,101.540582259999990,447788.000000000000000,4398190.000000000000000,932.9875488,32995
151,19,1,25,16,101.540582259999990,447795.000000000000000,4398194.000000000000000,937.1731567,11817
152,20,1,26,27,1.000000000000000,447762.000000000000000,4398153.000000000000000,913.8230591,11336
153,20,1,26,27,1.000000000000000,447763.000000000000000,4398153.000000000000000,914.4322510,11305
154,21,1,27,28,1.000000000000000,447763.000000000000000,4398153.000000000000000,914.4322510,11305
155,21,1,27,28,1.000000000000000,447764.000000000000000,4398153.000000000000000,914.9612427,11296
156,22,1,28,29,1.000000000000000,447764.000000000000000,4398153.000000000000000,914.9612427,11296
157,22,1,28,29,1.000000000000000,447765.000000000000000,4398153.000000000000000,915.5832520,11284
158,23,1,29,20,55.091474021200000,447765.000000000000000,4398153.000000000000000,915.5832520,11284
159,23,1,29,20,55.091474021200000,447772.000000000000000,4398158.000000000000000,921.1889648,10785
160,23,1,29,20,55.091474021200000,447776.000000000000000,4398158.000000000000000,922.8829346,10778
161,23,1,29,20,55.091474021200000,447780.000000000000000,4398160.000000000000000,925.1811523,10715
162,23,1,29,20,55.091474021200000,447786.000000000000000,4398160.000000000000000,927.7273560,10707
163,23,1,29,20,55.091474021200000,447793.000000000000000,4398166.000000000000000,931.5879517,10508
164,23,1,29,20,55.091474021200000,447805.000000000000000,4398167.000000000000000,938.6177979,9900
165,23,1,29,20,55.091474021200000,447807.000000000000000,4398169.000000000000000,940.4282227,9863
166,23,1,29,20,55.091474021200000,447812.000000000000000,4398170.000000000000000,943.8429565,9792
167,23,1,29,20,55.091474021200000,447814.000000000000000,4398172.000000000000000,945.2164307,9788
168,24,1,30,26,2.000000000000000,447761.000000000000000,4398152.000000000000000,913.0733643,11943
169,24,1,30,26,2.000000000000000,447761.000000000000000,4398153.000000000000000,913.2233887,11347
170,24,1,30,26,2.000000000000000,447762.000000000000000,4398153.000000000000000,913.8230591,11336
171,25,1,30,31,1.000000000000000,447761.000000000000000,4398152.000000000000000,913.0733643,11943
172,25,1,30,31,1.000000000000000,447762.000000000000000,4398152.000000000000000,913.6898804,11942
173,26,1,26,31,1.000000000000000,447762.000000000000000,4398153.000000000000000,913.8230591,11336
174,26,1,26,31,1.000000000000000,447762.000000000000000,4398152.000000000000000,913.6898804,11942
175,27,1,31,32,1.000000000000000,447762.000000000000000,4398152.000000000000000,913.6898804,11942
176,27,1,31,32,1.000000000000000,447763.000000000000000,4398152.000000000000000,914.2742920,11941
177,28,1,27,32,1.000000000000000,447763.000000000000000,4398153.000000000000000,914.4322510,11305
178,28,1,27,32,1.000000000000000,447763.000000000000000,4398152.000000000000000,914.2742920,11941
179,29,1,32,33,1.000000000000000,447763.000000000000000,4398152.000000000000000,914.2742920,11941
180,29,1,32,33,1.000000000000000,447764.000000000000000,4398152.000000000000000,914.9403687,11940
181,30,1,28,33,1.000000000000000,447764.000000000000000,4398153.000000000000000,914.9612427,11296
182,30,1,28,33,1.000000000000000,447764.000000000000000,4398152.000000000000000,914.9403687,11940
183,31,1,33,34,1.000000000000000,447764.000000000000000,4398152.000000000000000,914.9403687,11940
184,31,1,33,34,1.000000000000000,447765.000000000000000,4398152.000000000000000,915.5739746,11939
185,32,1,29,34,1.000000000000000,447765.000000000000000,4398153.000000000000000,915.5832520,11284
186,32,1,29,34,1.000000000000000,447765.000000000000000,4398152.000000000000000,915.5739746,11939
187,33,1,14,36,94.056437750300006,447331.000000000000000,4398231.000000000000000,814.2157593,10417
188,33,1,14,36,94.056437750300006,447330.000000000000000,4398223.000000000000000,810.6477661,28270
189,33,1,14,36,94.056437750300006,447333.000000000000000,4398220.000000000000000,808.7606201,28307
190,33,1,14,36,94.056437750300006,447333.000000000000000,4398218.000000000000000,807.3525391,28415
191,33,1,14,36,94.056437750300006,447335.000000000000000,4398215.000000000000000,805.9743652,29586
192,33,1,14,36,94.056437750300006,447336.000000000000000,4398204.000000000000000,801.4710083,30436
193,33,1,14,36,94.056437750300006,447340.000000000000000,4398196.000000000000000,798.3021851,30717
194,33,1,14,36,94.056437750300006,447340.000000000000000,4398187.000000000000000,795.0614014,30936
195,33,1,14,36,94.056437750300006,447341.000000000000000,4398186.000000000000000,794.4744873,30944
196,33,1,14,36,94.056437750300006,447341.000000000000000,4398178.000000000000000,791.0357666,35200
197,33,1,14,36,94.056437750300006,447342.000000000000000,4398177.000000000000000,790.2730103,35419
198,33,1,14,36,94.056437750300006,447342.000000000000000,4398166.000000000000000,785.2288208,35945
199,33,1,14,36,94.056437750300006,447339.000000000000000,4398162.000000000000000,783.5458984,41480
200,33,1,14,36,94.056437750300006,447338.000000000000000,4398156.000000000000000,781.3706055,41581
201,33,1,14,36,94.056437750300006,447339.000000000000000,4398155.000000000000000,780.8964233,41598
202,33,1,14,36,94.056437750300006,447339.000000000000000,4398152.000000000000000,779.9731445,41636
203,33,1,14,36,94.056437750300006,447342.000000000000000,4398147.000000000000000,777.1759644,41689
204,33,1,14,36,94.056437750300006,447342.000000000000000,4398143.000000000000000,775.3724976,41702
205,34,1,36,37,1.000000000000000,447342.000000000000000,4398143.000000000000000,775.3724976,41702
206,34,1,36,37,1.000000000000000,447343.000000000000000,4398143.000000000000000,775.2260132,23787
207,35,1,3,37,261.637833498000020,447495.000000000000000,4398346.000000000000000,932.3920898,6278
208,35,1,3,37,261.637833498000020,447495.000000000000000,4398345.000000000000000,931.8145752,6285
209,35,1,3,37,261.637833498000020,447487.000000000000000,4398338.000000000000000,924.2142944,6457
210,35,1,3,37,261.637833498000020,447487.000000000000000,4398336.000000000000000,922.6598511,6469
211,35,1,3,37,261.637833498000020,447480.000000000000000,4398330.000000000000000,916.2410889,6481
212,35,1,3,37,261.637833498000020,447478.000000000000000,4398324.000000000000000,911.7169800,6576
213,35,1,3,37,261.637833498000020,447462.000000000000000,4398309.000000000000000,898.2553101,9207
214,35,1,3,37,261.637833498000020,447456.000000000000000,4398300.000000000000000,890.9405518,9590
215,35,1,3,37,261.637833498000020,447431.000000000000000,4398273.000000000000000,868.4666138,16733
216,35,1,3,37,261.637833498000020,447429.000000000000000,4398267.000000000000000,864.5985718,16974
217,35,1,3,37,261.637833498000020,447421.000000000000000,4398259.000000000000000,855.7767334,17393
218,35,1,3,37,261.637833498000020,447420.000000000000000,4398255.000000000000000,852.5949707,17471
219,35,1,3,37,261.637833498000020,447410.000000000000000,4398245.000000000000000,842.3405151,17745
220,35,1,3,37,261.637833498000020,447409.000000000000000,4398242.000000000000000,840.1793213,18366
221,35,1,3,37,261.637833498000020,447397.000000000000000,4398230.000000000000000,828.8835449,18392
222,35,1,3,37,261.637833498000020,447387.000000000000000,4398217.000000000000000,819.6889038,21834
223,35,1,3,37,261.637833498000020,447366.000000000000000,4398197.000000000000000,805.2471924,22158
224,35,1,3,37,261.637833498000020,447365.000000000000000,4398192.000000000000000,803.0437012,22202
225,35,1,3,37,261.637833498000020,447362.000000000000000,4398188.000000000000000,800.8693237,22238
226,35,1,3,37,261.637833498000020,447360.000000000000000,4398178.000000000000000,795.4513550,22369
227,35,1,3,37,261.637833498000020,447358.000000000000000,4398176.000000000000000,794.0821533,22380
228,35,1,3,37,261.637833498000020,447358.000000000000000,4398171.000000000000000,791.4825439,22416
229,35,1,3,37,261.637833498000020,447356.000000000000000,4398169.000000000000000,790.0219727,22434
230,35,1,3,37,261.637833498000020,447356.000000000000000,4398166.000000000000000,788.6311646,22454
231,35,1,3,37,261.637833498000020,447354.000000000000000,4398163.000000000000000,787.1036987,22482
232,35,1,3,37,261.637833498000020,447353.000000000000000,4398154.000000000000000,782.5303345,23604
233,35,1,3,37,261.637833498000020,447343.000000000000000,4398143.000000000000000,775.2260132,23787
234,36,1,36,39,1.000000000000000,447342.000000000000000,4398143.000000000000000,775.3724976,41702
235,36,1,36,39,1.000000000000000,447342.000000000000000,4398142.000000000000000,774.9523926,41708
236,37,1,39,40,1.000000000000000,447342.000000000000000,4398142.000000000000000,774.9523926,41708
237,37,1,39,40,1.000000000000000,447343.000000000000000,4398142.000000000000000,774.8596191,23802
238,38,1,37,40,1.000000000000000,447343.000000000000000,4398143.000000000000000,775.2260132,23787
239,38,1,37,40,1.000000000000000,447343.000000000000000,4398142.000000000000000,774.8596191,23802
240,39,1,34,35,52.119039393900003,447765.000000000000000,4398152.000000000000000,915.5739746,11939
241,39,1,34,35,52.119039393900003,447779.000000000000000,4398152.000000000000000,923.8497314,11918
242,39,1,34,35,52.119039393900003,447786.000000000000000,4398146.000000000000000,928.8133545,7271
243,39,1,34,35,52.119039393900003,447791.000000000000000,4398146.000000000000000,931.2464600,7238
244,39,1,34,35,52.119039393900003,447793.000000000000000,4398144.000000000000000,932.3601685,7205
245,39,1,34,35,52.119039393900003,447798.000000000000000,4398144.000000000000000,934.5575562,7187
246,39,1,34,35,52.119039393900003,447800.000000000000000,4398142.000000000000000,935.5625000,7177
247,39,1,34,35,52.119039393900003,447804.000000000000000,4398142.000000000000000,936.5899048,7169
248,39,1,34,35,52.119039393900003,447806.000000000000000,4398144.000000000000000,937.7609253,6743
249,39,1,34,35,52.119039393900003,447811.000000000000000,4398144.000000000000000,939.8729248,6738
250,39,1,34,35,52.119039393900003,447812.000000000000000,4398145.000000000000000,940.4271240,6467
251,40,1,39,41,2.000000000000000,447342.000000000000000,4398142.000000000000000,774.9523926,41708
252,40,1,39,41,2.000000000000000,447342.000000000000000,4398141.000000000000000,774.5913086,41711
253,40,1,39,41,2.000000000000000,447343.000000000000000,4398141.000000000000000,774.5741577,23823
254,41,1,40,41,1.000000000000000,447343.000000000000000,4398142.000000000000000,774.8596191,23802
255,41,1,40,41,1.000000000000000,447343.000000000000000,4398141.000000000000000,774.5741577,23823
256,42,1,38,43,14.532997913799999,447332.000000000000000,4398142.000000000000000,775.6223755,6335
257,42,1,38,43,14.532997913799999,447332.000000000000000,4398139.000000000000000,773.7641602,6674
258,42,1,38,43,14.532997913799999,447334.000000000000000,4398137.000000000000000,772.4787598,6772
259,42,1,38,43,14.532997913799999,447335.000000000000000,4398132.000000000000000,770.4567261,6922
260,42,1,38,43,14.532997913799999,447337.000000000000000,4398129.000000000000000,769.2818604,7004
261,43,1,43,44,1.000000000000000,447337.000000000000000,4398129.000000000000000,769.2818604,7004
262,43,1,43,44,1.000000000000000,447338.000000000000000,4398129.000000000000000,769.3131104,65634
263,44,1,41,44,13.444200230600000,447343.000000000000000,4398141.000000000000000,774.5741577,23823
264,44,1,41,44,13.444200230600000,447343.000000000000000,4398138.000000000000000,773.5419922,65561
265,44,1,41,44,13.444200230600000,447341.000000000000000,4398136.000000000000000,772.4508667,65579
266,44,1,41,44,13.444200230600000,447338.000000000000000,4398129.000000000000000,769.3131104,65634
267,45,1,43,45,1.000000000000000,447337.000000000000000,4398129.000000000000000,769.2818604,7004
268,45,1,43,45,1.000000000000000,447337.000000000000000,4398128.000000000000000,768.9592896,7007
269,46,1,45,44,2.000000000000000,447337.000000000000000,4398128.000000000000000,768.9592896,7007
270,46,1,45,44,2.000000000000000,447338.000000000000000,4398128.000000000000000,769.0537720,65637
