FID,ARCID,GRID_CODE,FROM_NODE,TO_NODE,Length,X_UTM,Y_UTM,AngeloSage,flowacc_co
0,1,1,1,3,83.660286898899997,456808.000000000000000,4381294.000000000000000,895.3233643,1088
1,1,1,1,3,83.660286898899997,456809.000000000000000,4381293.000000000000000,894.9057617,1099
2,1,1,1,3,83.660286898899997,456813.000000000000000,4381293.000000000000000,893.7321777,1126
3,1,1,1,3,83.660286898899997,456821.000000000000000,4381286.000000000000000,889.9072266,1139
4,1,1,1,3,83.660286898899997,456824.000000000000000,4381286.000000000000000,888.9696045,1177
5,1,1,1,3,83.660286898899997,456827.000000000000000,4381283.000000000000000,887.6705933,1189
6,1,1,1,3,83.660286898899997,456830.000000000000000,4381282.000000000000000,886.2557983,1260
7,1,1,1,3,83.660286898899997,456857.000000000000000,4381254.000000000000000,870.7674561,1402
8,1,1,1,3,83.660286898899997,456857.000000000000000,4381252.000000000000000,869.9030762,1461
9,1,1,1,3,83.660286898899997,456860.000000000000000,4381248.000000000000000,867.9859009,1480
10,1,1,1,3,83.660286898899997,456868.000000000000000,4381240.000000000000000,865.6193237,1996
11,2,1,3,4,2.236067977500000,456868.000000000000000,4381240.000000000000000,865.6193237,1996
12,2,1,3,4,2.236067977500000,456870.000000000000000,4381239.000000000000000,865.1212158,1536
13,3,1,3,4,3.650281539870000,456868.000000000000000,4381240.000000000000000,865.6193237,1996
14,3,1,3,4,3.650281539870000,456869.000000000000000,4381241.000000000000000,865.6213379,1150
15,3,1,3,4,3.650281539870000,456870.000000000000000,4381239.000000000000000,865.1212158,1536
16,4,1,8,11,5.000000000000000,456752.000000000000000,4381222.000000000000000,890.1790771,1193
17,4,1,8,11,5.000000000000000,456749.000000000000000,4381218.000000000000000,889.3884277,2563
18,5,1,11,10,9.828427124750000,456749.000000000000000,4381218.000000000000000,889.3884277,2563
19,5,1,11,10,9.828427124750000,456756.000000000000000,4381218.000000000000000,890.0589600,1319
20,5,1,11,10,9.828427124750000,456758.000000000000000,4381220.000000000000000,890.2249146,1306
21,6,1,9,12,4.472135955000000,456744.000000000000000,4381221.000000000000000,889.9360962,1693
22,6,1,9,12,4.472135955000000,456746.000000000000000,4381217.000000000000000,889.2637329,4978
23,7,1,12,11,3.162277660170000,456746.000000000000000,4381217.000000000000000,889.2637329,4978
24,7,1,12,11,3.162277660170000,456749.000000000000000,4381218.000000000000000,889.3884277,2563
25,8,1,2,14,59.051841384200003,456834.000000000000000,4381245.000000000000000,872.3983154,1099
26,8,1,2,14,59.051841384200003,456842.000000000000000,4381238.000000000000000,867.9178467,2468
27,8,1,2,14,59.051841384200003,456853.000000000000000,4381231.000000000000000,862.9286499,2844
28,8,1,2,14,59.051841384200003,456868.000000000000000,4381216.000000000000000,857.0070190,3869
29,8,1,2,14,59.051841384200003,456869.000000000000000,4381211.000000000000000,855.6408691,3934
30,8,1,2,14,59.051841384200003,456874.000000000000000,4381206.000000000000000,853.7947388,4133
31,8,1,2,14,59.051841384200003,456876.000000000000000,4381206.000000000000000,853.1633911,4144
32,9,1,4,14,37.375966247299999,456870.000000000000000,4381239.000000000000000,865.1212158,1536
33,9,1,4,14,37.375966247299999,456870.000000000000000,4381236.000000000000000,864.3156128,3542
34,9,1,4,14,37.375966247299999,456875.000000000000000,4381231.000000000000000,861.9311523,3562
35,9,1,4,14,37.375966247299999,456875.000000000000000,4381219.000000000000000,858.0228882,3605
36,9,1,4,14,37.375966247299999,456872.000000000000000,4381216.000000000000000,857.0244141,3608
37,9,1,4,14,37.375966247299999,456872.000000000000000,4381213.000000000000000,855.9508057,3660
38,9,1,4,14,37.375966247299999,456876.000000000000000,4381206.000000000000000,853.1633911,4144
39,10,1,14,15,4.605551275460000,456876.000000000000000,4381206.000000000000000,853.1633911,4144
40,10,1,14,15,4.605551275460000,456877.000000000000000,4381206.000000000000000,852.7786255,7841
41,10,1,14,15,4.605551275460000,456879.000000000000000,4381203.000000000000000,851.0071411,1467
42,11,1,16,15,22.200792856100001,456858.000000000000000,4381202.000000000000000,857.3280029,1108
43,11,1,16,15,22.200792856100001,456861.000000000000000,4381204.000000000000000,856.8649902,1124
44,11,1,16,15,22.200792856100001,456871.000000000000000,4381204.000000000000000,854.4004517,1134
45,11,1,16,15,22.200792856100001,456875.000000000000000,4381202.000000000000000,852.8101196,1450
46,11,1,16,15,22.200792856100001,456879.000000000000000,4381203.000000000000000,851.0071411,1467
47,12,1,7,21,39.529436704699997,456980.000000000000000,4381224.000000000000000,836.9464722,1094
48,12,1,7,21,39.529436704699997,456981.000000000000000,4381217.000000000000000,835.6814575,1855
49,12,1,7,21,39.529436704699997,456991.000000000000000,4381207.000000000000000,830.5098267,2523
50,12,1,7,21,39.529436704699997,456991.000000000000000,4381203.000000000000000,828.9978638,3046
51,12,1,7,21,39.529436704699997,456994.000000000000000,4381198.000000000000000,827.3910522,4137
52,12,1,7,21,39.529436704699997,456995.000000000000000,4381191.000000000000000,825.9602051,4577
53,12,1,7,21,39.529436704699997,456996.000000000000000,4381190.000000000000000,825.7697754,4586
54,13,1,21,22,1.000000000000000,456996.000000000000000,4381190.000000000000000,825.7697754,4586
55,13,1,21,22,1.000000000000000,456997.000000000000000,4381190.000000000000000,826.0075684,1089
56,14,1,20,22,1.414213562370000,456998.000000000000000,4381191.000000000000000,826.5364380,1088
57,14,1,20,22,1.414213562370000,456997.000000000000000,4381190.000000000000000,826.0075684,1089
58,15,1,21,24,1.000000000000000,456996.000000000000000,4381190.000000000000000,825.7697754,4586
59,15,1,21,24,1.000000000000000,456996.000000000000000,4381189.000000000000000,825.4608765,4588
60,16,1,24,25,1.000000000000000,456996.000000000000000,4381189.000000000000000,825.4608765,4588
61,16,1,24,25,1.000000000000000,456997.000000000000000,4381189.000000000000000,825.6124878,1093
62,17,1,22,25,1.000000000000000,456997.000000000000000,4381190.000000000000000,826.0075684,1089
63,17,1,22,25,1.000000000000000,456997.000000000000000,4381189.000000000000000,825.6124878,1093
64,18,1,24,26,2.000000000000000,456996.000000000000000,4381189.000000000000000,825.4608765,4588
65,18,1,24,26,2.000000000000000,456996.000000000000000,4381188.000000000000000,825.2003174,4721
66,18,1,24,26,2.000000000000000,456997.000000000000000,4381188.000000000000000,825.2640991,1100
67,19,1,25,26,1.000000000000000,456997.000000000000000,4381189.000000000000000,825.6124878,1093
68,19,1,25,26,1.000000000000000,456997.000000000000000,4381188.000000000000000,825.2640991,1100
69,20,1,19,29,9.830951894849999,456376.000000000000000,4381191.000000000000000,846.9696655,1245
70,20,1,19,29,9.830951894849999,456376.000000000000000,4381187.000000000000000,846.4489746,1742
71,20,1,19,29,9.830951894849999,456379.000000000000000,4381182.000000000000000,845.8688354,1760
72,21,1,29,5,60.706489018600003,456379.000000000000000,4381182.000000000000000,845.8688354,1760
73,21,1,29,5,60.706489018600003,456382.000000000000000,4381184.000000000000000,846.2349854,3064
74,21,1,29,5,60.706489018600003,456381.000000000000000,4381185.000000000000000,846.2880859,3032
75,21,1,29,5,60.706489018600003,456381.000000000000000,4381191.000000000000000,847.0392456,2049
76,21,1,29,5,60.706489018600003,456383.000000000000000,4381193.000000000000000,847.3265991,2028
77,21,1,29,5,60.706489018600003,456383.000000000000000,4381197.000000000000000,847.8162842,2015
78,21,1,29,5,60.706489018600003,456389.000000000000000,4381202.000000000000000,848.8635864,1996
79,21,1,29,5,60.706489018600003,456392.000000000000000,4381207.000000000000000,849.8941650,1969
80,21,1,29,5,60.706489018600003,456396.000000000000000,4381208.000000000000000,851.0059204,1281
81,21,1,29,5,60.706489018600003,456412.000000000000000,4381223.000000000000000,857.7087402,1183
82,21,1,29,5,60.706489018600003,456415.000000000000000,4381224.000000000000000,858.7406006,1159
83,22,1,6,32,54.639019512700003,456931.000000000000000,4381224.000000000000000,844.0920410,1147
84,22,1,6,32,54.639019512700003,456940.000000000000000,4381215.000000000000000,839.4942627,1627
85,22,1,6,32,54.639019512700003,456942.000000000000000,4381207.000000000000000,836.8229370,1858
86,22,1,6,32,54.639019512700003,456944.000000000000000,4381205.000000000000000,836.0338135,1863
87,22,1,6,32,54.639019512700003,456944.000000000000000,4381202.000000000000000,835.1994019,2114
88,22,1,6,32,54.639019512700003,456955.000000000000000,4381191.000000000000000,831.2551270,2125
89,22,1,6,32,54.639019512700003,456957.000000000000000,4381184.000000000000000,828.8095093,2279
90,22,1,6,32,54.639019512700003,456961.000000000000000,4381181.000000000000000,827.3974609,1438
91,23,1,17,32,16.414213562400001,456962.000000000000000,4381197.000000000000000,832.3997192,1122
92,23,1,17,32,16.414213562400001,456962.000000000000000,4381185.000000000000000,828.9570313,1141
93,23,1,17,32,16.414213562400001,456961.000000000000000,4381184.000000000000000,828.4124756,1421
94,23,1,17,32,16.414213562400001,456961.000000000000000,4381181.000000000000000,827.3974609,1438
95,24,1,29,36,5.099019513590000,456379.000000000000000,4381182.000000000000000,845.8688354,1760
96,24,1,29,36,5.099019513590000,456380.000000000000000,4381177.000000000000000,845.4090576,6382
97,25,1,34,36,10.404918347300001,456371.000000000000000,4381179.000000000000000,846.0947876,1248
98,25,1,34,36,10.404918347300001,456372.000000000000000,4381178.000000000000000,846.0805664,1253
99,25,1,34,36,10.404918347300001,456375.000000000000000,4381178.000000000000000,845.7712402,1310
100,25,1,34,36,10.404918347300001,456377.000000000000000,4381176.000000000000000,845.6544189,1514
101,25,1,34,36,10.404918347300001,456380.000000000000000,4381177.000000000000000,845.4090576,6382
102,26,1,35,39,3.162277660170000,456512.000000000000000,4381178.000000000000000,863.2576294,1687
103,26,1,35,39,3.162277660170000,456511.000000000000000,4381175.000000000000000,862.0062256,1602
104,27,1,39,33,7.810249675910000,456511.000000000000000,4381175.000000000000000,862.0062256,1602
105,27,1,39,33,7.810249675910000,456517.000000000000000,4381180.000000000000000,865.1366577,1224
106,28,1,23,40,16.738768882700001,456598.000000000000000,4381189.000000000000000,881.7071533,1435
107,28,1,23,40,16.738768882700001,456596.000000000000000,4381183.000000000000000,879.2011108,1445
108,28,1,23,40,16.738768882700001,456596.000000000000000,4381174.000000000000000,875.9326172,1501
109,28,1,23,40,16.738768882700001,456597.000000000000000,4381173.000000000000000,875.6928711,3743
110,29,1,18,40,23.043595147900000,456608.000000000000000,4381192.000000000000000,885.5549316,1774
111,29,1,18,40,23.043595147900000,456608.000000000000000,4381189.000000000000000,883.8695679,1777
112,29,1,18,40,23.043595147900000,456603.000000000000000,4381184.000000000000000,880.4193115,1792
113,29,1,18,40,23.043595147900000,456603.000000000000000,4381182.000000000000000,879.6354370,1795
114,29,1,18,40,23.043595147900000,456598.000000000000000,4381176.000000000000000,876.7269897,2235
115,29,1,18,40,23.043595147900000,456597.000000000000000,4381173.000000000000000,875.6928711,3743
116,30,1,36,45,15.645764924600000,456380.000000000000000,4381177.000000000000000,845.4090576,6382
117,30,1,36,45,15.645764924600000,456383.000000000000000,4381174.000000000000000,845.2294922,6389
118,30,1,36,45,15.645764924600000,456383.000000000000000,4381169.000000000000000,844.7019043,6657
119,30,1,36,45,15.645764924600000,456387.000000000000000,4381164.000000000000000,844.0769653,9103
120,31,1,41,45,7.634413615170000,456386.000000000000000,4381171.000000000000000,844.7379761,1441
121,31,1,41,45,7.634413615170000,456388.000000000000000,4381167.000000000000000,844.3651733,2319
122,31,1,41,45,7.634413615170000,456387.000000000000000,4381164.000000000000000,844.0769653,9103
123,32,1,31,47,29.691680412299998,456586.000000000000000,4381181.000000000000000,878.4443970,1551
124,32,1,31,47,29.691680412299998,456586.000000000000000,4381177.000000000000000,877.2185059,1560
125,32,1,31,47,29.691680412299998,456592.000000000000000,4381170.000000000000000,875.1312866,4214
126,32,1,31,47,29.691680412299998,456592.000000000000000,4381167.000000000000000,874.4631958,4232
127,32,1,31,47,29.691680412299998,456594.000000000000000,4381163.000000000000000,873.6918335,4260
128,32,1,31,47,29.691680412299998,456594.000000000000000,4381159.000000000000000,872.8779297,4781
129,32,1,31,47,29.691680412299998,456597.000000000000000,4381155.000000000000000,871.6488037,8957
130,33,1,40,47,20.273360299200000,456597.000000000000000,4381173.000000000000000,875.6928711,3743
131,33,1,40,47,20.273360299200000,456597.000000000000000,4381168.000000000000000,874.7584839,3753
132,33,1,40,47,20.273360299200000,456601.000000000000000,4381161.000000000000000,873.0385132,4090
133,33,1,40,47,20.273360299200000,456597.000000000000000,4381155.000000000000000,871.6488037,8957
134,34,1,15,48,109.419036722000000,456879.000000000000000,4381203.000000000000000,851.0071411,1467
135,34,1,15,48,109.419036722000000,456882.000000000000000,4381203.000000000000000,850.2350464,9328
136,34,1,15,48,109.419036722000000,456888.000000000000000,4381198.000000000000000,847.8494873,9764
137,34,1,15,48,109.419036722000000,456892.000000000000000,4381197.000000000000000,846.3499146,9943
138,34,1,15,48,109.419036722000000,456893.000000000000000,4381195.000000000000000,846.2521973,10037
139,34,1,15,48,109.419036722000000,456896.000000000000000,4381195.000000000000000,845.0189209,10043
140,34,1,15,48,109.419036722000000,456902.000000000000000,4381191.000000000000000,840.4552612,11172
141,34,1,15,48,109.419036722000000,456902.000000000000000,4381190.000000000000000,840.3828735,11229
142,34,1,15,48,109.419036722000000,456909.000000000000000,4381184.000000000000000,836.7109985,11517
143,34,1,15,48,109.419036722000000,456909.000000000000000,4381182.000000000000000,835.6641846,11539
144,34,1,15,48,109.419036722000000,456912.000000000000000,4381177.000000000000000,833.4372559,11648
145,34,1,15,48,109.419036722000000,456918.000000000000000,4381169.000000000000000,830.8417969,12332
146,34,1,15,48,109.419036722000000,456922.000000000000000,4381166.000000000000000,830.1065674,12473
147,34,1,15,48,109.419036722000000,456930.000000000000000,4381164.000000000000000,828.3972168,12720
148,34,1,15,48,109.419036722000000,456933.000000000000000,4381162.000000000000000,827.8215942,12735
149,34,1,15,48,109.419036722000000,456943.000000000000000,4381161.000000000000000,826.0806885,12926
150,34,1,15,48,109.419036722000000,456945.000000000000000,4381159.000000000000000,825.6242065,12956
151,34,1,15,48,109.419036722000000,456947.000000000000000,4381159.000000000000000,825.2462158,13009
152,34,1,15,48,109.419036722000000,456953.000000000000000,4381152.000000000000000,823.5424194,13597
153,34,1,15,48,109.419036722000000,456966.000000000000000,4381151.000000000000000,821.2302856,20149
154,35,1,32,48,31.069768000500002,456961.000000000000000,4381181.000000000000000,827.3974609,1438
155,35,1,32,48,31.069768000500002,456960.000000000000000,4381172.000000000000000,825.4945068,5008
156,35,1,32,48,31.069768000500002,456964.000000000000000,4381163.000000000000000,824.1815796,5257
157,35,1,32,48,31.069768000500002,456966.000000000000000,4381151.000000000000000,821.2302856,20149
158,36,1,46,50,13.830951894800000,456492.000000000000000,4381162.000000000000000,855.7197266,1208
159,36,1,46,50,13.830951894800000,456489.000000000000000,4381157.000000000000000,853.9478760,1230
160,36,1,46,50,13.830951894800000,456489.000000000000000,4381149.000000000000000,852.0121460,1283
161,37,1,50,39,34.844658351000000,456489.000000000000000,4381149.000000000000000,852.0121460,1283
162,37,1,50,39,34.844658351000000,456494.000000000000000,4381153.000000000000000,853.4151001,4568
163,37,1,50,39,34.844658351000000,456494.000000000000000,4381155.000000000000000,853.8969727,4285
